CountryCode,GDP_Decade_Start,GDP_Decade_End,GDP_Growth,Net_Decade_Start,Net_Decade_End,Net_Growth,CO2_Change,Score,Label
MMR,1990s,2010s,10.900,1990s,2010s,207796.010,-0.470,207806.910,verde_digital
MNE,1990s,2010s,4.365,2000s,2010s,1.077,-0.138,5.443,crecimiento_bajo_o_mixto
MUS,1990s,2010s,1.985,1990s,2010s,29.538,0.701,30.822,digital_con_mas_emisiones
NCL,1990s,2010s,1.164,1990s,2010s,41.678,0.896,41.946,digital_con_mas_emisiones
NIC,1990s,2010s,1.784,1990s,2010s,142.396,-0.053,144.180,verde_digital
NOR,1990s,2010s,1.638,1990s,2010s,7.041,-0.164,8.679,verde_digital
PRY,1990s,2010s,2.254,1990s,2010s,341.687,-0.126,343.940,verde_digital
PYF,1990s,2010s,0.245,1990s,2010s,57.382,0.345,57.281,crecimiento_bajo_o_mixto
QAT,1990s,2010s,3.688,1990s,2010s,43.804,-0.464,47.493,verde_digital
SAU,1990s,2010s,1.361,1990s,2010s,630.862,0.174,632.049,digital_con_mas_emisiones
SEN,1990s,2010s,0.756,1990s,2010s,339.413,1.376,338.793,crecimiento_bajo_o_mixto
SLV,1990s,2010s,1.659,1990s,2010s,95.213,0.334,96.537,digital_con_mas_emisiones
SMR,1990s,2010s,0.214,1990s,2010s,6.918,NA,7.132,digital_sin_datos_co2
SOM,1990s,2010s,0.898,1990s,2010s,775.581,-0.586,776.479,crecimiento_bajo_o_mixto
SSF,1990s,2010s,1.213,2000s,2010s,4.099,-0.056,5.312,crecimiento_bajo_o_mixto
SWE,1990s,2010s,0.832,1990s,2010s,6.617,-0.270,7.449,crecimiento_bajo_o_mixto
SWZ,1990s,2010s,1.578,1990s,2010s,247.011,0.206,248.383,digital_con_mas_emisiones
SYC,1990s,2010s,1.156,1990s,2010s,26.078,1.073,26.162,digital_con_mas_emisiones
SYR,1990s,2010s,0.451,1990s,2010s,1291.599,4.089,1287.961,crecimiento_bajo_o_mixto
TEA,1990s,2010s,8.673,2000s,2010s,1.976,-0.328,10.649,crecimiento_bajo_o_mixto
THA,1990s,2010s,1.749,1990s,2010s,104.249,0.307,105.691,digital_con_mas_emisiones
TJK,1990s,2010s,2.223,1990s,2010s,1093.404,-0.507,1095.628,verde_digital
TKM,1990s,2010s,7.839,1990s,2010s,505.855,-0.641,513.694,verde_digital
TMN,1990s,2010s,1.720,2000s,2010s,1.837,0.078,3.479,crecimiento_bajo_o_mixto
TUR,1990s,2010s,2.551,1990s,2010s,118.697,0.104,121.144,digital_con_mas_emisiones
TZA,1990s,2010s,2.231,1990s,2010s,528.166,0.348,530.048,digital_con_mas_emisiones
UGA,1990s,2010s,2.493,1990s,2010s,170.744,0.790,172.447,digital_con_mas_emisiones
UKR,1990s,2010s,1.905,1990s,2010s,371.150,-0.539,373.055,verde_digital
USA,1990s,2010s,0.996,1990s,2010s,5.427,-0.091,6.423,crecimiento_bajo_o_mixto
VEN,1990s,2010s,3.140,1990s,2010s,91.414,-0.431,94.555,verde_digital
ZMB,1990s,2010s,2.573,1990s,2010s,332.612,-0.196,335.184,verde_digital
